
2023/09/17 (18:26:49) | ===> btop++ v.1.2.13
2023/09/17 (18:26:49) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/09/17 (18:27:09) | ===> btop++ v.1.2.13
2023/09/17 (18:27:09) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/09/18 (09:52:44) | ===> btop++ v.1.2.13
2023/09/18 (09:52:44) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/09/18 (16:10:30) | ===> btop++ v.1.2.13
2023/09/18 (16:10:30) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/09/20 (14:34:01) | ===> btop++ v.1.2.13
2023/09/20 (14:34:01) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/09/20 (14:34:07) | ===> btop++ v.1.2.13
2023/09/20 (14:34:07) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/09/22 (22:18:58) | ===> btop++ v.1.2.13
2023/09/22 (22:18:58) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/09/24 (21:25:14) | ===> btop++ v.1.2.13
2023/09/24 (21:25:14) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/09/29 (15:15:50) | ===> btop++ v.1.2.13
2023/09/29 (15:15:50) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/09/30 (22:48:19) | ===> btop++ v.1.2.13
2023/09/30 (22:48:19) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/09/30 (22:56:24) | ===> btop++ v.1.2.13
2023/09/30 (22:56:24) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/10/06 (11:34:14) | ===> btop++ v.1.2.13
2023/10/06 (11:34:14) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/10/14 (10:29:08) | ===> btop++ v.1.2.13
2023/10/14 (10:29:08) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/10/18 (15:10:07) | ===> btop++ v.1.2.13
2023/10/18 (15:10:07) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/10/19 (09:18:58) | ===> btop++ v.1.2.13
2023/10/19 (09:18:58) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/10/31 (18:53:50) | ===> btop++ v.1.2.13
2023/10/31 (18:53:50) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/11/04 (15:47:54) | ===> btop++ v.1.2.13
2023/11/04 (15:47:54) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/11/05 (14:21:06) | ===> btop++ v.1.2.13
2023/11/05 (14:21:06) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/11/05 (14:24:46) | ===> btop++ v.1.2.13
2023/11/05 (14:24:46) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/11/06 (09:33:48) | ===> btop++ v.1.2.13
2023/11/06 (09:33:48) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/11/06 (09:35:07) | ===> btop++ v.1.2.13
2023/11/06 (09:35:07) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/11/06 (12:58:45) | ===> btop++ v.1.2.13
2023/11/06 (12:58:45) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2023/11/06 (12:58:45) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2023/11/06 (12:59:22) | ===> btop++ v.1.2.13
2023/11/06 (12:59:22) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/11/08 (08:12:56) | ===> btop++ v.1.2.13
2023/11/08 (08:12:56) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/11/15 (11:38:17) | ===> btop++ v.1.2.13
2023/11/15 (11:38:17) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/11/15 (11:39:56) | ===> btop++ v.1.2.13
2023/11/15 (11:39:56) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/11/15 (15:49:04) | ===> btop++ v.1.2.13
2023/11/15 (15:49:04) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/11/21 (13:47:51) | ===> btop++ v.1.2.13
2023/11/21 (13:47:51) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/11/27 (08:27:52) | ===> btop++ v.1.2.13
2023/11/27 (08:27:52) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/11/27 (08:27:54) | ===> btop++ v.1.2.13
2023/11/27 (08:27:54) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/12/01 (10:46:23) | ===> btop++ v.1.2.13
2023/12/01 (10:46:23) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/12/01 (11:31:55) | ===> btop++ v.1.2.13
2023/12/01 (11:31:55) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/12/01 (11:36:08) | ===> btop++ v.1.2.13
2023/12/01 (11:36:08) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/12/01 (12:00:12) | ===> btop++ v.1.2.13
2023/12/01 (12:00:12) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/12/01 (12:24:59) | ===> btop++ v.1.2.13
2023/12/01 (12:24:59) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/12/15 (14:20:05) | ===> btop++ v.1.2.13
2023/12/15 (14:20:05) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/12/15 (14:21:08) | ===> btop++ v.1.2.13
2023/12/15 (14:21:08) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/12/15 (14:22:12) | ===> btop++ v.1.2.13
2023/12/15 (14:22:12) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/12/15 (14:22:21) | ===> btop++ v.1.2.13
2023/12/15 (14:22:21) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/12/18 (15:17:02) | ===> btop++ v.1.2.13
2023/12/18 (15:17:02) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/01/04 (16:01:31) | ===> btop++ v.1.2.13
2024/01/04 (16:01:31) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/01/04 (19:21:51) | ===> btop++ v.1.2.13
2024/01/04 (19:21:51) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/01/04 (19:22:55) | ===> btop++ v.1.2.13
2024/01/04 (19:22:55) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/01/04 (19:23:24) | ===> btop++ v.1.2.13
2024/01/04 (19:23:24) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/01/04 (19:24:06) | ===> btop++ v.1.2.13
2024/01/04 (19:24:06) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/01/05 (09:58:51) | ===> btop++ v.1.2.13
2024/01/05 (09:58:51) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/01/05 (10:03:41) | ===> btop++ v.1.2.13
2024/01/05 (10:03:41) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/01/05 (10:56:40) | ===> btop++ v.1.2.13
2024/01/05 (10:56:40) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/01/05 (12:19:51) | ===> btop++ v.1.2.13
2024/01/05 (12:19:51) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/01/22 (14:05:56) | ===> btop++ v.1.3.0
2024/01/22 (14:05:56) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/01/22 (14:06:24) | ===> btop++ v.1.3.0
2024/01/22 (14:06:24) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/01/24 (13:14:47) | ===> btop++ v.1.3.0
2024/01/24 (13:14:47) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/01/24 (14:33:07) | ===> btop++ v.1.3.0
2024/01/24 (14:33:07) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/01/24 (14:34:13) | ===> btop++ v.1.3.0
